index,x,y
309,-2.014999975040555,4.32500019185245
310,-1.9649999742954969,4.375000192597508
311,-1.9149999735504388,4.425000193342566
312,-1.8649999728053808,4.475000194087624
313,-1.8149999720603227,4.525000194832682
314,-1.7649999713152646,4.57500019557774
315,-1.7149999705702066,4.625000196322798
316,-1.6649999698251485,4.675000197067856
317,-1.6149999690800905,4.725000197812914
318,-1.5649999683350324,4.725000197812914
319,-1.5149999675899744,4.775000198557972
320,-1.4649999668449163,4.775000198557972
321,-1.4149999660998582,4.82500019930303
322,-1.3649999653548002,4.82500019930303
323,-1.3149999646097421,4.875000200048088
324,-1.264999963864684,4.875000200048088
325,-1.214999963119626,4.875000200048088
326,-1.164999962374568,4.875000200048088
327,-1.1149999616295099,4.875000200048088
328,-1.0649999608844518,4.875000200048088
329,-1.0149999601393938,4.875000200048088
330,-0.9649999593943357,4.875000200048088
331,-0.9149999586492776,4.875000200048088
332,-0.8649999579042196,4.875000200048088
333,-0.8149999571591615,4.875000200048088
334,-0.7649999564141035,4.875000200048088
335,-0.7149999556690454,4.875000200048088
336,-0.6649999549239873,4.875000200048088
337,-0.6149999541789293,4.875000200048088
338,-0.5649999534338712,4.875000200048088
339,-0.5149999526888132,4.875000200048088
340,-0.4649999519437551,4.875000200048088
341,-0.41499995119869704,4.82500019930303
342,-0.364999950453639,4.775000198557972
343,-0.3149999497085809,4.725000197812914
344,-0.26499994896352286,4.675000197067856
345,-0.2149999482184648,4.625000196322798
346,-0.16499994747340674,4.57500019557774
347,-0.11499994672834868,4.525000194832682
348,-0.06499994598329062,4.475000194087624
349,-0.01499994523823256,4.425000193342566
350,0.0350000555068255,4.375000192597508
351,0.08500005625188356,4.32500019185245
352,0.13500005699694162,4.275000191107392
353,0.18500005774199968,4.2250001903623335
354,0.23500005848705774,4.1750001896172755
355,0.23500005848705774,4.125000188872217
356,0.23500005848705774,4.075000188127159
357,0.2850000592321158,4.025000187382101
358,0.2850000592321158,3.9750001866370432
359,0.2850000592321158,3.925000185891985
360,0.33500005997717386,3.875000185146927
361,0.33500005997717386,3.825000184401869
362,0.33500005997717386,3.775000183656811
363,0.33500005997717386,3.725000182911753
364,0.33500005997717386,3.675000182166695
365,0.33500005997717386,3.625000181421637
366,0.3850000607222319,3.5750001806765788
367,0.43500006146729,3.5250001799315207
368,0.43500006146729,3.4750001791864626
369,0.43500006146729,3.4250001784414046
370,0.43500006146729,3.3750001776963465
371,0.43500006146729,3.3250001769512885
372,0.43500006146729,3.2750001762062304
373,0.43500006146729,3.2250001754611723
374,0.43500006146729,3.1750001747161143
375,0.43500006146729,3.1250001739710562
376,0.43500006146729,3.075000173225998
377,0.43500006146729,3.02500017248094
378,0.43500006146729,2.975000171735882
379,0.43500006146729,2.925000170990824
380,0.43500006146729,2.875000170245766
381,0.43500006146729,2.825000169500708
382,0.43500006146729,2.77500016875565
383,0.43500006146729,2.7250001680105918
384,0.43500006146729,2.6750001672655337
385,0.43500006146729,2.6250001665204756
386,0.43500006146729,2.5750001657754176
387,0.43500006146729,2.5250001650303595
388,0.43500006146729,2.4750001642853015
389,0.43500006146729,2.4250001635402434
390,0.43500006146729,2.3750001627951853
391,0.43500006146729,2.3250001620501273
392,0.43500006146729,2.275000161305069
393,0.43500006146729,2.225000160560011
394,0.43500006146729,2.175000159814953
395,0.43500006146729,2.125000159069895
396,0.43500006146729,2.075000158324837
397,0.43500006146729,2.025000157579779
398,0.43500006146729,1.9750001568347209
399,0.43500006146729,1.9250001560896628
400,0.43500006146729,1.8750001553446047
401,0.43500006146729,1.8250001545995467
402,0.43500006146729,1.7750001538544886
403,0.43500006146729,1.7250001531094306
404,0.43500006146729,1.6750001523643725
405,0.43500006146729,1.6250001516193144
406,0.43500006146729,1.5750001508742564
407,0.43500006146729,1.5250001501291983
408,0.43500006146729,1.4750001493841403
409,0.43500006146729,1.4250001486390822
410,0.43500006146729,1.3750001478940241
411,0.43500006146729,1.325000147148966
412,0.43500006146729,1.275000146403908
413,0.43500006146729,1.22500014565885
414,0.43500006146729,1.175000144913792
415,0.43500006146729,1.1250001441687338
416,0.43500006146729,1.0750001434236758
