index,x,y,yaw_rad
45,-1.233648001269423,-6.470935496076902,-2.912728686926208
46,-1.3376727481393933,-6.49516757883819,-2.9367126097671403
47,-1.4452055002494382,-6.517512419994058,-2.961130290743704
48,-1.5532524844336075,-6.537225294296456,-2.9880640092427297
49,-1.658819927525949,-6.553561476497335,-3.020160288047545
50,-1.7589140563605126,-6.565776241348649,-3.061562494864942
51,-1.8505410977713468,-6.573124863602347,-3.127476198318493
52,-1.9311761400536045,-6.574263220186102,2.870030459566953
53,-2.011869908814994,-6.5517947895093975,2.605580424069511
54,-2.0957022313677833,-6.501996555545671,2.431090428534262
55,-2.1790186770252267,-6.430310893567007,2.302535231930993
56,-2.2581648151005767,-6.34218017884549,2.1944562695471475
57,-2.329486214907085,-6.24304678665321,2.0900667316313712
58,-2.3893284457580064,-6.13835309226225,1.9739890674844103
59,-2.434037076966593,-6.033541470944696,1.8256721295297702
60,-2.459957677846098,-5.934054297972635,1.6268722692348956
61,-2.4649999817460775,-5.844229368089701,1.5707963267948966
62,-2.4649999817460775,-5.754941467921853,1.5707963267948966
63,-2.4649999817460775,-5.6630377646257966,1.5707963267948966
64,-2.4649999817460775,-5.568741588903934,1.5707963267948966
65,-2.4649999817460775,-5.472276271458672,1.5707963267948966
66,-2.4649999817460775,-5.373865142992416,1.5707963267948966
67,-2.4649999817460775,-5.27373153420757,1.5707963267948966
68,-2.4649999817460775,-5.172098775806543,1.5707963267948966
69,-2.4649999817460775,-5.069190198491735,1.5707963267948966
70,-2.4649999817460775,-4.965229132965557,1.5707963267948966
71,-2.4649999817460775,-4.860438909930411,1.5707963267948966
72,-2.4649999817460775,-4.755042860088703,1.5707963267948966
73,-2.4649999817460775,-4.6492643141428385,1.5707963267948966
74,-2.4649999817460775,-4.543326602795223,1.5707963267948966
75,-2.4649999817460775,-4.437453056748263,1.5707963267948966
76,-2.4649999817460775,-4.331867006704363,1.5707963267948966
77,-2.4649999817460775,-4.226791783365926,1.5707963267948966
78,-2.4649999817460775,-4.122450717435362,1.5707963267948966
79,-2.4649999817460775,-4.019067139615075,1.5707963267948966
80,-2.4649999817460775,-3.9168643806074677,1.5707963267948966
81,-2.4649999817460775,-3.816065771114949,1.5707963267948966
82,-2.4649999817460775,-3.7168946418399216,1.5707963267948966
83,-2.4649999817460775,-3.619574323484792,1.5707963267948966
84,-2.4649999817460775,-3.5243281467519645,1.5507769820183916
85,-2.46313785821726,-3.4313243656947483,1.4018578404141395
86,-2.4476047864099466,-3.340255611508515,1.249981484670747
87,-2.4178963562113354,-3.2508515528639355,1.1255152810926516
88,-2.375916779741484,-3.1628898198259314,1.0278254566221086
89,-2.3235702691204505,-3.076148042459425,0.9539267682010989
90,-2.2627610364682935,-2.9904038508293387,0.9004297210198682
91,-2.1953932939050698,-2.9054348750005943,0.8644597807826482
92,-2.123371253550838,-2.8210187450381135,0.8439592170198253
93,-2.048599127525656,-2.7369330910068186,0.8377299232797114
94,-1.9729811279495815,-2.6529555429716325,0.8454083578934444
95,-1.8984214669426729,-2.568863730997476,0.867452191600116
96,-1.8268243566249867,-2.484435285149271,0.9051582370632137
97,-1.7600940091165833,-2.3994478354919413,0.9606872682691108
98,-1.7001346365375198,-2.313679012090408,1.0370071046241338
99,-1.6488504510078539,-2.2269064450095937,1.1375456406318967
100,-1.6081456646476433,-2.1389077643144203,1.2651746542097408
101,-1.579924489576946,-2.049460600069809,1.420128898141711
102,-1.5660911379158202,-1.9583425823406828,1.5590521428956503
103,-1.5649999683350324,-1.8654353677692284,1.5707963267948966
104,-1.5649999683350324,-1.771035420127794,1.5707963267948966
105,-1.5649999683350324,-1.6752738438252546,1.5707963267948966
106,-1.5649999683350324,-1.5782556646426147,1.5707963267948966
107,-1.5649999683350324,-1.4800859083608788,1.5707963267948966
108,-1.5649999683350324,-1.3808696007610515,1.5707963267948966
109,-1.5649999683350324,-1.2807117676241362,1.5707963267948966
110,-1.5649999683350324,-1.179717434731141,1.5707963267948966
111,-1.5649999683350324,-1.0779916278630683,1.5707963267948966
112,-1.5649999683350324,-0.9756393728009235,1.5707963267948966
113,-1.5649999683350324,-0.872765695325711,1.5707963267948966
114,-1.5649999683350324,-0.7694756212184357,1.5707963267948966
115,-1.5649999683350324,-0.6658741762601018,1.5707963267948966
116,-1.5649999683350324,-0.5620663862317146,1.5707963267948966
117,-1.5649999683350324,-0.4581572769142785,1.5707963267948966
118,-1.5649999683350324,-0.35425187408879816,1.5707963267948966
119,-1.5649999683350324,-0.2504552035362784,1.5707963267948966
120,-1.5649999683350324,-0.14687229103772392,1.5707963267948966
121,-1.5649999683350324,-0.04360816237413938,1.5707963267948966
122,-1.5649999683350324,0.05923215667347248,1.5707963267948966
123,-1.5649999683350324,0.1615436403241031,1.5707963267948966
124,-1.5649999683350324,0.2632212627967494,1.5707963267948966
125,-1.5649999683350324,0.36415999831040713,1.5707963267948966
126,-1.5649999683350324,0.46425482108407196,1.5707963267948966
127,-1.5649999683350324,0.5634007053367381,1.5707963267948966
128,-1.5649999683350324,0.6614926252874014,1.5707963267948966
129,-1.5649999683350324,0.758425555155057,1.5707963267948966
